,Genomic resources,,,,,,,,,,,,
Order,Superfamily,Family,Subfamily,Tribe,Species,Country,Dataset,Genome version,Repository,Link,Institution,,
Lepidoptera,Bombycoidea,Bombycidae,Bombycinae,-,Bombyx mori,n/a,Reference Genome, BGI version,SilkDB,http://silkworm.big.ac.cn/jsp/download.jsp,n/a,,
Hymenoptera,Orussoidea,Orussidae,-,-,Orussus abietinus,n/a,Reference Genome ,Oabie_BCM_v_0.5.3,i5k,https://i5k.nal.usda.gov/content/data-downloads,n/a,,
Diptera,Ephydroidea,Drosophilidae,Drosophilinae,-,Drosophila melanogaster,n/a,Reference Genome ,R6.07,Fly Base,ftp://ftp.flybase.net/genomes/Drosophila_melanogaster/dmel_r6.07_FB2015_04/,n/a,,
Coleoptera,Buprestoidea,Buprestidae,Agrilinae,-,Agrilus planipennis,n/a,Reference Genome,BCM_version_0.5.3,i5K ftp server,https://i5k.nal.usda.gov/content/data-downloads,n/a,,
Coleoptera,Tenebrionoidea,Tenebrionidae,Triboliini,-,Tribolium castaneum,n/a,Reference Genome ,Tcas 5.2,iBeetle Base,http://ibeetle-base.uni-goettingen.de/help/resources,n/a,,
Coleoptera,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Onthophagini,Onthophagus taurus,n/a,Reference Genome,BCM_version_0.5.3,i5K ftp server,https://i5k.nal.usda.gov/content/data-downloads,n/a,,
Coleoptera,Curculionoidea,Curculionidae,Scolytinae,Hylesinini,Dendroctonus ponderosae,n/a,Reference Genome,DendPond_male_1.0,Ensembl Metazoa,http://metazoa.ensembl.org/Dendroctonus_ponderosae/Info/Index,n/a,,
Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Lamiini,Anoplophora glabripennis,n/a,Reference Genome,BCM_version_0.5.3,i5K ftp server,https://i5k.nal.usda.gov/content/data-downloads,n/a,,
Coleoptera,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Chrysomelini,Leptinotarsa decemlineata,n/a,Reference Genome,BCM_version_0.5.3,i5K ftp server,https://i5k.nal.usda.gov/content/data-downloads,n/a,,
Coleoptera,Staphylinoidea,Ptiliidae,Ptiliinae,Nanosellini,Philagarica sp.,Australia,Transcriptome,n/a,SAMN16403212 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Leiodidae,Camiarinae,Camiarini,Paragyrtodes modestus,Australia,Transcriptome,n/a,SAMN16403265 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Leiodidae,Leiodinae,Agathidiini,Anisotoma castanea,Czech Republic,Transcriptome,n/a,SAMN16402869 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Silphidae,Nicrophorinae,Nicrophorini,Nicrophorus vespilloides*,n/a,Reference Genome,Nicve_v1.0_ncbi.nih.gov,NCBI PRJNA284849,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=110193&lvl=3&lin=f&keep=1&srchmode=1&unlock,n/a,,
Coleoptera,Staphylinoidea,Silphidae,Silphinae,Silphini,Silpha sp.,Italy,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Omaliinae,Anthophagini ,Lesteva luctuosa,Italy,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Omaliinae,Omaliini,Acidota crenata*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Proteininae,Silphotelini,Silphotelus sp.*,New Zealand,Transcriptome,n/a,SAMN16402402 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Staphylinidae,Tachyporinae,Mycetoporini,Lordithon lunulatus*,Czech Republic,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Tachyporinae,Tachyporini,Tachinus rufipes,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Aleocharinae,Aenictoteratini,Mimaenictus wilsoni,USA,Whole Genome Shotgun (WGS),n/a,SRP114974 (NCBI),n/a,California Institute of Technology,,
Coleoptera,Staphylinoidea,Staphylinidae,Aleocharinae,Athetini,undetermined ,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Aleocharinae,Athetini,Dalotia coriaria,USA,Whole Genome Shotgun (WGS),n/a,SRP090569 (NCBI),n/a,California Institute of Technology,,
Coleoptera,Staphylinoidea,Staphylinidae,Aleocharinae,Deinopsini,Deinopsis erosa*,n/a,Whole Genome Shotgun (WGS),n/a,SRP096748 (NCBI),n/a,California Institute of Technology,,
Coleoptera,Staphylinoidea,Staphylinidae,Aleocharinae,Gymnusini,Gymnusa sp.,Russia,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Oxytelinae,Deleasterini,Deleaster dichrous*,Italy,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Oxytelinae,Oxytelini,Anotylus rugosus,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Steninae,-,Stenus bimaculatus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Lathrobiini (Lathrobiina),Lathrobium brunnipes,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Paederini (Paederina),Paederus littoralis,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Paederini (Paederina),Paederus cruenticollis*,Australia,Transcriptome,n/a,SAMN16403195 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Staphylinidae,Xantholininae,Othiini,Othius punctulatus,Sweden,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Xantholininae,Diochini,Diochus sp.,Australia,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Staphylininae,Quediini,Quedius fuliginosus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Staphylininae,Staphylinini (Philonthina),Philonthus decorus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
,,,,,,,,,,,,,
,*Priority reference taxa used in the final selection of loci,,,,,,,,,,,,
